CODE,NOM,DCI1,DOSAGE1,UNITE_DOSAGE1,FORME,PRESENTATION,PPV,PH,PRIX_BR,PRINCEPS_GENERIQUE,TAUX_REMBOURSEMENT
6118001120475,SALAZOPYRIN,SULFASALAZINE,500,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 100 COMPRIME GASTRO-RESISTANT, 141.70   , 88.30   , 141.70   ,P,70%
6118001070688,XANTHIUM LP,THEOPHYLLINE,300,MG,GELULE LP,1 BOITE 60 GELULE, 51.50   , 32.20   , 51.50   ,G,70%
6118000050414,AIRLIX,CETIRIZINE,1,MG,SOLUTION BUVABLE,1 FLACON 60 ML, 31.90   , 19.90   , 31.90   ,G,70%
6118000120384,GYNOMYK,BUTOCONAZOLE,100,MG,OVULE,1 BOITE 3 OVULE, 62.20   , 41.10   , 62.20   ,P,0%
6118001050642,AVASTIN,BEVACIZUMAB,100,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON," 3,983.00   "," 3,689.00   "," 3,983.00   ",P,70%
6118001230358,FLUMAX 6000 UI ANTI-XA/0.6ML,ENOXAPARINE,6000,UI ANTI-XA,SOLUTION INJECTABLE,1 BOITE 2 SERINGUE PREREMPLIE, 134.60   , 84.10   , 134.60   ,G,70%
6118001182725,PARAPLATINE,CARBOPLATINE,50,MG,SOLUTION POUR PERFUSION,1 FLACON 5 ML, 835.30   , 552.50   , 835.30   ,P,70%
6118001110230,TRIFAX IV,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 61.00   , 38.00   , 61.00   ,G,70%
6118001121373,GLUCOVANCE,METFORMINE / GLIBENCLAMIDE,500 / 2.5,MG / MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE, 42.00   , 26.20   , 42.00   ,P,70%
6118000032779,IXOR,OMEPRAZOLE,10,MG,COMPRIME EFFERVESCENT,1 BOITE 28 COMPRIME, 108.00   , 67.30   , 60.00   ,P,70%
6118000060499,PENICILLINE G 1 M UI DIAMANT,BENZYLPENICILLINE,1,MUI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 10.30   , -     , 7.65   ,P,70%
6118001180813,DIPRIVAN,PROPOFOL,500,MG,EMULSION INJECTABLE,1 BOITE 1 KIT, 314.90   , 208.30   , 314.90   ,P,0%
6118001120697,NEORAL,CICLOSPORINE,100,MG,SOLUTION BUVABLE,1 FLACON 50 ML," 1,736.00   "," 1,452.00   "," 1,736.00   ",P,70%
6118001070954,XANTHIUM LP,THEOPHYLLINE,200,MG,GELULE LP,1 BOITE 30 GELULE, 21.80   , 13.60   , 21.80   ,G,70%
6118000140870,AGIDERM,ACIDE FUSIDIQUE,2,%,POMMADE,1 TUBE 15 G, 25.00   , 15.60   , 25.00   ,G,70%
6118000170211,GYNO CANESTEN,CLOTRIMAZOLE,1,%,CREME VAGINALE,1 TUBE 35 G, 56.25   , -     , -     ,P,70%
6118001090112,CIPRO LP 500 MG,CIPROFLOXACINE,500,MG,COMPRIME PELLICULE LP,1 BOITE 3 COMPRIME PELLICULE, 60.00   , 37.40   , 60.00   ,P,70%
6118000210030,CIFLOXINE,CIPROFLOXACINE,500,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 10 COMPRIME ENROBE, 120.00   , 74.80   , 120.00   ,G,70%
6118000070795,SUPRIMASE,FLUCONAZOLE,150,MG,GELULE,1 BOITE 1 GELULE, 29.90   , 18.60   , 29.90   ,G,70%
6118000020141,MEDIVEINE,DIOSMINE,300,MG,COMPRIME PELLICULE,1 BOITE 60 COMPRIME, 62.40   , -     , 62.40   ,G,0%
6118001120758,PURSENNIDE,SENOSIDES CALCIQUES,20,MG,COMPRIME ENROBE,1 BOITE 20 COMPRIME ENROBE, 16.90   , 11.20   , 16.90   ,P,0%
6118000010814,IDEOS,CALCIUM / COLECALCIFEROL (VITAMINE D3),500 / 400,MG / UI,COMPRIME A SUCER,1 BOITE 30 COMPRIME, 53.40   , 33.30   , 42.20   ,P,70%
6118001100354,NORMACOL LAVEMENT AD,PHOSPHATE MONOSODIQUE / PHOSPHATE DISODIQUE,23.66 / 10.4,G / G,SOLUTION RECTALE,1 FLACON 130 ML, 26.50   , 17.50   , 26.50   ,P,0%
6118010116278,CRESTOR,ROSUVASTATINE,5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME, 210.00   , 130.80   , 210.00   ,P,70%
6118001183104,CRESTOR,ROSUVASTATINE,5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME, 210.00   , 130.80   , 210.00   ,P,70%
6118001050154,INHIBACE,CILAZAPRIL,5,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME SECABLE, 179.90   , 112.40   , 179.90   ,P,70%
6118000100058,DIAMICRON,GLICLAZIDE,80,MG,COMPRIME SECABLE,1 BOITE 20 COMPRIME, 37.20   , 24.60   , 29.70   ,P,70%
6118001030019,TEGRETOL,CARBAMAZEPINE,200,MG,COMPRIME SECABLE,1 BOITE 50 COMPRIME SECABLE, 81.10   , 50.50   , 56.00   ,P,70%
6118000081579,ANDOL,PARACETAMOL,500,MG,COMPRIME,1 BOITE 20 COMPRIME, 10.00   , 6.20   , 10.00   ,G,70%
6118000011835,ZECLAR,CLARITHROMYCINE,250,MG,COMPRIME PELLICULE,1 BOITE 10 COMPRIME, 171.65   , 113.50   , 90.00   ,P,70%
6118000020769,OREX,CEFALEXINE,250,MG,GRANULE POUR SUSPENSION BUVABLE,1 FLACON 60 ML, 37.70   , 23.50   , 37.70   ,G,70%
6118001184187,REVLIMID 25 MG,LENALIDOMIDE,25,MG,GELULE,1 BOITE 21 GELULE, -     ," 58,465.00   "," 58,465.00   ",P,0%
6118000240372,FENAC,DICLOFENAC,50,MG,COMPRIME GASTRO-RESISTANT,1 BOITE 30 COMPRIME GASTRO-RESISTANT, 44.10   , 27.50   , 44.10   ,G,70%
6118010026553,LIPISTAT,SIMVASTATINE,40,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME ENROBE, 232.00   , 145.10   , 232.00   ,G,70%
6118001240036,LIPISTAT,SIMVASTATINE,40,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME ENROBE, 232.00   , 145.10   , 232.00   ,G,70%
6118000030683,CALCIBRONAT,BROMOGALACTOGLUCONATE DE CALCIUM,13.3,%,SIROP,1 FLACON 200 ML, 26.40   , 17.50   , 26.40   ,P,0%
6118000032076,VITA C 1000,ACIDE ASCORBIQUE (VITAMINE C),1,G,COMPRIME EFFERVESCENT,1 BOITE 20 COMPRIME EFFERVESCENT, 27.70   , 18.30   , 27.70   ,G,0%
6118000010494,DUPHALAC,LACTULOSE,66.5,%,SOLUTION BUVABLE,1 FLACON 200 ML, 49.35   , 32.60   , 49.35   ,P,0%
6118001070169,CIALIS,TADALAFIL,20,MG,COMPRIME PELLICULE,1 BOITE 4 COMPRIME PELLICULE, 440.00   , -     , 440.00   ,P,0%
6118000190417,EPHEDRYL,PARACETAMOL / TRIPROLIDINE,2.5 / 25,G / MG,SOLUTION BUVABLE,1 FLACON 100 ML, 17.85   , 11.80   , 17.85   ,G,0%
6118001180943,ECLARAN,PEROXYDE DE BENZOYLE,5,%,GEL,1 TUBE 45 G, 31.45   , 20.80   , 31.45   ,P,0%
6118010020063,COQUELUSEDAL NOURRISSON,NIAOULI / GRINDELIA / GELSEMIUM,10/10/5,MG / MG / MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE, 11.40   , 7.50   , 11.40   ,P,0%
6118001184057,NICOPASS 1.5 MG SANS SUCRE REGLISSE MENTHE,NICOTINE,1.5,MG,PASTILLE A SUCER,1 BOITE 36 PASTILLE, 120.40   , 79.60   , 120.40   ,P,0%
6118010120664,MICROPAKINE LP 100 MG,VALPROATE DE SODIUM,100,MG,GRANULE LP,1 BOITE 30 SACHET, 39.60   , 26.20   , 39.60   ,P,0%
6118001081820,MICROPAKINE LP 100 MG,VALPROATE DE SODIUM,100,MG,GRANULE LP,1 BOITE 30 SACHET, 39.60   , 26.20   , 39.60   ,P,0%
6118001200696,CYTARABINE EBEWE,CYTARABINE,100,MG,SOLUTION POUR PERFUSION,1 FLACON 5 ML, 42.00   , 26.20   , 42.00   ,G,70%
6118001070824,FLEET PHOSPHO-SODA,HYDROGENOPHOSPHATE DE SODIUM DODECAHYDRATE / DIHYDROGENOPHOSPHATE DE SODIUM HYDRATE,10.8 / 24.4,G / G,SOLUTION BUVABLE,2 FLACON 45 ML, 128.00   , 84.65   , 128.00   ,G,0%
6118000190707,NEOMOX,AMOXICILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML, 28.00   , 17.50   , 28.00   ,G,70%
6118001050017,ANEXATE 0.5 MG / 5 ML,FLUMAZENIL,0.5,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE," 1,079.00   ", 713.80   ," 1,079.00   ",P,0%
6118001200306,RECOFOL,PROPOFOL,10,MG,EMULSION INJECTABLE,1 FLACON 50 ML, -     , 140.00   , 140.00   ,P,0%
6118001070602,TOBRADEX,TOBRAMYCINE / DEXAMETHASONE,3 / 1,MG / MG,POMMADE OPHTALMIQUE,1 TUBE 3.5 G, 60.00   , 39.65   , 60.00   ,P,0%
6118000090199,BAITANET G,POLYVIDONE IODEE,10,%,SOLUTION GYNECOLOGIQUE,1 FLACON 550 ML, 41.00   , 27.10   , 41.00   ,G,0%
6118000050568,CARDIX,CARVEDILOL,6.25,MG,COMPRIME SECABLE,1 BOITE 28 COMPRIME, 44.00   , 27.50   , 44.00   ,G,70%
6118001183654,CLARELUX 500 µG,PROPIONATE DE CLOBETASOL,500,µG,MOUSSE,1 FLACON 100 G, 165.90   , 109.70   , 165.90   ,P,0%
6118000040125,BISOLVON,BROMHEXINE,0.2,%,SOLUTION BUVABLE,1 FLACON 60 ML, 18.30   , 12.10   , 18.30   ,P,0%
6118000220015,ANAFRANIL,CLOMIPRAMINE,25,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME ENROBE, 47.90   , 29.90   , 47.90   ,P,70%
6118001170067,AROMASINE,EXEMESTANE,25,MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME, 969.00   , 689.00   , 969.00   ,P,70%
6118000150107,CLARADOL PLUS,PARACETAMOL / PROPYPHENAZONE,250 / 150,MG / MG,COMPRIME,1 BOITE 10 COMPRIME, 17.25   , -     , 17.25   ,P,0%
6118010121593,VANTEC,CETIRIZINE,10,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME ENROBE, 37.70   , 23.50   , 37.70   ,G,70%
6118000360049,VANTEC,CETIRIZINE,10,MG,COMPRIME ENROBE SECABLE,1 BOITE 30 COMPRIME ENROBE, 37.70   , 23.50   , 37.70   ,G,70%
6118001010127,CEFOTRIM,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 61.00   , 38.00   , 61.00   ,G,70%
6118000230038,ACIVIR,ACICLOVIR,0.1,G,CREME,1 TUBE 2 G, 25.00   , -     , 25.00   ,G,0%
6118000170389,MADECASSOL,CENTELLA ASIATICA,1,%,POMMADE,1 TUBE 10 G, 24.00   , 15.90   , 24.00   ,P,0%
6118000061311,MITOSYL IRRITATIONS,FOIE DE POISSON / ZINC,13 / 17.55,G / G,POMMADE,1 TUBE 65 G, 17.25   , 11.40   , 17.25   ,P,0%
6118001150526,PANOXYL,PEROXYDE DE BENZOYLE,5,%,GEL,1 TUBE 40 G, 40.20   , 26.20   , 40.20   ,P,0%
6118001181735,MICROVAL,LEVONORGESTREL,0.03,MG,COMPRIME ENROBE,1 BOITE 28 COMPRIME, 13.95   , 9.20   , 13.95   ,P,0%
6118001140824,LAMICTAL,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME, 41.20   , 25.70   , 41.20   ,P,70%
6118001121229,GYNERGENE CAFEINE,ERGOTAMINE / CAFEINE,1 / 100,MG / MG,COMPRIME,1 BOITE 20 COMPRIME, 41.80   , 27.60   , 41.80   ,P,0%
6118000241119,"ADRENALINE 0,50 MG",EPINEPHRINE,0.5,MG,SOLUTION INJECTABLE,1 BOITE 10 AMPOULE INJECTABLE, 20.60   , 13.60   , 20.60   ,G,70%
6118000040712,SPASMOPRIV,MEBEVERINE,200,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME, 44.90   , 28.00   , 44.90   ,G,70%
6118000100256,COVERSYL,PERINDOPRIL,4,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME, 232.40   , 153.70   , 105.00   ,P,70%
6118001182558,ZOMIG,ZOLMITRIPTAN,2.5,MG,COMPRIME PELLICULE,1 BOITE 6 COMPRIME, 323.00   , 214.00   , 323.00   ,P,70%
6118001080380,GENHEVAC B,VACCIN ANTI-HEPATITE B,,NA,POUDRE POUR SUSPENSION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE, 148.40   , 92.50   , 148.40   ,P,70%
6118010116766,DIMAZOL,CARBIMAZOLE,10,MG,COMPRIME,1 BOITE 100 COMPRIME, 88.00   , 58.20   , 88.00   ,G,0%
6118000241867,DIMAZOL,CARBIMAZOLE,10,MG,COMPRIME,1 BOITE 100 COMPRIME, 88.00   , 58.20   , 88.00   ,G,0%
6118001030651,LUMIGAN 0.3MG/ML,BIMATOPROST,0.3,MG,COLLYRE,1 FLACON 3 ML, 230.00   , 152.10   , 230.00   ,P,0%
6118001120925,MOSCONTIN,MORPHINE,60,MG,COMPRIME LP,1 BOITE 14 COMPRIME, 209.00   , 130.80   , 209.00   ,P,70%
6118000160823,PENAMOX,AMOXICILLINE,500,MG,GELULE,1 BOITE 12 GELULE, 52.50   , 32.70   , 46.60   ,P,70%
6118000030270,GENTOSYL,GENTAMICINE,40,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE, 12.80   , 8.00   , 12.80   ,G,70%
6118000013099,CIPROFLOXACINE WIN 250 MG,CIPROFLOXACINE,250,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME PELLICULE, 63.40   , 41.90   , 63.40   ,G,70%
6118001270699,PAROXETINE GT 20 MG,PAROXETINE,20,MG,COMPRIME PELLICULE,1 FLACON 10 COMPRIME PELLICULE, 63.00   , 39.20   , 63.00   ,G,70%
6118010024870,PARAPSYLLIUM,TEGUMENT MUCILAGINEUX DE GRAINE DE PSYLIUM / PARAFFINE LIQUIDE,33.33 / 33.33,G / G,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 1 FLACON, 37.55   , -     , 37.55   ,G,0%
6118000250685,ZOLOFT,SERTRALINE,50,MG,GELULE,1 BOITE 15 GELULE, 71.00   , 44.20   , 71.00   ,P,70%
6118001220090,SEROHALE 50 µG,SALMETEROL / FLUTICASONE,25 / 50,µG / µG,SUSPENSION POUR INHALATION BUCCALE,1 FLACON 120 DOSE, 123.00   , 76.90   , 123.00   ,G,70%
6118001184118,SEROHALE 50 µG,SALMETEROL / FLUTICASONE,25 / 50,µG / µG,SUSPENSION POUR INHALATION BUCCALE,1 FLACON 120 DOSE, 123.00   , 76.90   , 123.00   ,G,70%
6118001030422,ZOMETA,ACIDE ZOLEDRONIQUE,4,MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON," 2,689.00   "," 2,321.00   "," 2,689.00   ",P,70%
6118000190202,BUTAMYL,SALBUTAMOL,1,MG,SUPPOSITOIRE,1 BOITE 12 SUPPOSITOIRE, 30.60   , 19.10   , 30.60   ,G,70%
6118000190028,ANTISTAPH / PENISTAPH,FLUCLOXACILLINE,500,MG,GELULE,1 BOITE 24 GELULE, 89.90   , 56.00   , 89.90   ,G,70%
6118010035340,TOTAPEN,AMPICILLINE,1,G,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 8 FLACON, 51.80   , -     , 51.80   ,P,70%
6118001250844,BRONCOTEC,FORMOTEROL,12,µG,GELULE INHALEE,1 BOITE 30 GELULE, 123.80   , 77.40   , 123.80   ,G,70%
6118000161028,AMOXIL,AMOXICILLINE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON, 12.20   , 7.60   , 12.20   ,P,70%
6118001270194,CEBESINE,OXYBUPROCAINE,0.4,%,COLLYRE,1 FLACON 10 ML, 23.00   , 15.20   , 23.00   ,P,0%
6118001250592,CHEMOSET,ONDANSETRON,8,MG,COMPRIME PELLICULE,1 BOITE 1 COMPRIME PELLICULE, 39.00   , 24.30   , 39.00   ,G,70%
6118001141494,ZOFRAN,ONDANSETRON,8,MG,SOLUTION INJECTABLE,1 BOITE 5 AMPOULE INJECTABLE," 1,404.60   ", 929.10   , 643.00   ,P,70%
6118000190950,METROZAL,METRONIDAZOLE,500,MG,OVULE,1 BOITE 10 OVULE, 28.00   , 17.40   , 28.00   ,G,70%
6118000041467,TRE-ZEN 20 MG,PAROXETINE,20,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME SECABLE, 130.20   , 86.10   , 130.20   ,G,70%
6118001200382,ULTRAVIST,IOPROMIDE,370,MG,SOLUTION INJECTABLE,1 FLACON 100 ML, 667.60   , 441.60   , 667.60   ,P,0%
6118000160113,AMOXIL,AMOXICILLINE,500,MG,COMPRIME DISPERSIBLE,1 BOITE 12 COMPRIME, 34.60   , 21.50   , 34.60   ,P,70%
6118010033049,OESTRODOSE,ESTRADIOL,0.06,%,GEL,1 FLACON 80 G, 86.00   , 56.90   , 86.00   ,P,0%
6118001260324,OESTRODOSE,ESTRADIOL,0.06,%,GEL,1 FLACON 80 G, 86.00   , 56.90   , 86.00   ,P,0%
6118010116094,SPIRIVA,TIOTROPIUM,18,µG,GELULE INHALEE,1 BOITE 30 GELULE, 571.00   , 378.00   , 571.00   ,P,70%
6118001040223,SPIRIVA,TIOTROPIUM,18,µG,GELULE INHALEE,1 BOITE 30 GELULE, 571.00   , 378.00   , 571.00   ,P,70%
6118001121052,VITRIMIX KV *,MULTIPLE,,NA,PREPARATION INJECTABLE POUR PERFUSION,1 BOITE 2 FLACON, 391.90   , -     , 391.90   ,P,0%
6118000071150,NOCOL,SIMVASTATINE,40,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME, 198.00   , 123.70   , 198.00   ,G,70%
6118000140986,DISPAMOX 250 MG,AMOXICILLINE,250,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML, 18.00   , 11.90   , 18.00   ,G,70%
6118001150151,INTRONA,INTERFERON ALFA-2B,18,MUI,SOLUTION INJECTABLE,1 STYLO 1.5 ML, -     ," 1,200.00   "," 1,200.00   ",P,70%
6118000070108,AZITHRIX,AZITHROMYCINE,200,MG,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 30 ML, 99.00   , 61.70   , 99.00   ,G,70%
6118000040941,AZIX,AZITHROMYCINE,500,MG,COMPRIME PELLICULE,1 BOITE 3 COMPRIME, 79.70   , 49.70   , 79.70   ,G,70%
6118010000966,SYNNAX,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME, 41.20   , 25.70   , 41.20   ,G,70%
6118001101511,SYNNAX,LAMOTRIGINE,5,MG,COMPRIME DISPERSIBLE,1 BOITE 30 COMPRIME, 41.20   , 25.70   , 41.20   ,G,70%
6118000012436,NOZINAN,LEVOMEPROMAZINE,25,MG,COMPRIME PELLICULE SECABLE,1 BOITE 20 COMPRIME, 16.20   , 10.10   , 16.20   ,P,70%
6118010116193,STILNOX CR,ZOLPIDEM,12.5,MG,COMPRIME PELLICULE SECABLE,1 BOITE 28 COMPRIME PELLICULE, 122.00   , 76.00   , 122.00   ,P,70%
6118000061823,STILNOX CR,ZOLPIDEM,12.5,MG,COMPRIME PELLICULE SECABLE,1 BOITE 28 COMPRIME PELLICULE, 122.00   , 76.00   , 122.00   ,P,70%
6118000140849,RAZON 40 MG,PANTOPRAZOLE,40,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 28 COMPRIME ENROBE GASTRO-RESISTANT, 180.00   , 119.10   , 180.00   ,G,0%
6118001100996,ORGALUTRAN,GANIRELIX,0.25,MG,SOLUTION INJECTABLE,1 BOITE 1 AMPOULE INJECTABLE, 512.60   , 339.70   , 512.60   ,P,0%
6118001120482,XALATAN,LATANOPROST,0.005,%,COLLYRE,1 FLACON 2.5 ML, 157.00   , 97.80   , 157.00   ,P,70%
6118010115851,CEFTAJECT I.M 500 MG/2ML,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON + AMPOULE, 55.00   , -     , 55.00   ,G,70%
6118000241409,CEFTAJECT I.M 500 MG/2ML,CEFTRIAXONE,500,MG,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 FLACON + AMPOULE, 55.00   , -     , 55.00   ,G,70%
6118010000225,GLIDIABET,GLIBENCLAMIDE,5,MG,COMPRIME SECABLE,1 BOITE 30 COMPRIME, 25.70   , 17.00   , 25.70   ,G,70%
6118010001918,OSCILLOCCINUM,SOUCHE HOMEOPATHIQUE,,NA,GLOBULE,1 BOITE 6 DOSE GLOBULE, 71.50   , 47.30   , 71.50   ,P,0%
6118000120193,THIAZILIX,INDAPAMIDE,2.5,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME, 50.00   , 31.20   , 50.00   ,G,70%
6118000040934,BISPIRAZOLE,SPIRAMYCINE / METRONIDAZOLE,1.5 / 250,MUI / MG,COMPRIME ENROBE,1 BOITE 15 COMPRIME, 79.90   , 49.80   , 79.90   ,G,70%
